Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
1.5 BHK Flat for Rent,"Dasarahalli, Byatarayanapura CMC And OG Part",Semi Furnished,700,Family / Bachelor / Company,Available now,18000,1,1.0,600.0,No,No,2.0,4.0,1.5,Flat,"Dasarahalli, Byatarayanapura CMC And OG Part"
2 BHK Flat for Rent,"Kaval Bairasandra, Bangalore",Semi Furnished,900,Family,Available now,22000,2,1.0,850.0,No,No,4.0,4.0,2,Flat,Kaval Bairasandra
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,30000,2,1.0,1100.0,No,No,1.0,5.0,1,Flat,Whitefield
3 BHK Flat for Rent,"RMV Extension Stage 2, Bangalore",Semi Furnished,2200,Family / Company,Available now,80000,3,2.0,1800.0,Yes,Yes,3.0,4.0,3,Flat,RMV Extension Stage 2
2 BHK Independent House for Rent,"HSR Layout, Bangalore",Semi Furnished,1100,Family / Bachelor,Available now,42000,2,1.0,850.0,No,No,3.0,6.0,2,Independent House,HSR Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Semi Furnished,720,Family / Bachelor / Company,Available now,14500,1,1.0,621.0,Yes,No,1.0,6.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,17000,1,1.0,550.0,Yes,Yes,3.0,6.0,1,Flat,Jakkur
3 BHK Flat for Rent,"Nagavara, Bangalore",Fully Furnished,2347,Family / Company,Available now,120000,3,1.0,1908.0,No,Yes,24.0,34.0,3,Flat,Nagavara
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1190,Family / Bachelor,Available now,32000,2,1.0,1000.0,Yes,Yes,3.0,6.0,2,Flat,Varthur
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,25000,1,1.0,520.0,No,Yes,1.0,5.0,1,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"HBR Layout, Bangalore",Semi Furnished,1250,Family / Bachelor,Available now,28000,2,3.0,1125.0,Yes,Yes,3.0,4.0,2,Flat,HBR Layout
