Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1300,Family,Available now,37100,3,1.0,1250.0,No,Yes,1.0,4.0,3,Flat,Narayanapura
2 BHK Flat for Rent,"Bellandur, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,Available now,37000,2,2.0,900.0,No,No,3.0,4.0,2,Flat,Bellandur
1 BHK Flat for Rent,"Uttarahalli -Manavarthekaval, Bangalore",Semi Furnished,584,Family / Bachelor / Company,Available now,22500,1,1.0,572.0,No,Yes,12.0,14.0,1,Flat,Uttarahalli -Manavarthekaval
1 BHK Flat for Rent,"Kadugodi, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,20000,1,1.0,650.0,No,Yes,1.0,6.0,1,Flat,Kadugodi
3 BHK Flat for Rent,"Thanisandra, Bangalore",Fully Furnished,2100,Family / Company,Available now,65000,3,2.0,1409.0,Yes,Yes,9.0,23.0,3,Flat,Thanisandra
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,61000,2,1.0,1100.0,No,No,1.0,4.0,2,Independent Builder Floor,HSR Layout
1 RK Studio for Rent,"BTM Layout, Bangalore",Fully Furnished,450,Family / Bachelor / Company,Available now,15000,1,1.0,400.0,No,Yes,3.0,6.0,1,Studio,BTM Layout
3.5 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,3544,Family / Company,Available now,110000,3,2.0,3000.0,No,Yes,3.0,6.0,3.5,Villa,Anagalapura
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1200,Family / Bachelor,"Oct, 2026",42100,2,1.0,1100.0,Yes,Yes,3.0,6.0,2,Flat,Choodasandra
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2400,Family / Company,Available now,69000,3,2.0,1800.0,No,Yes,3.0,6.0,3,Villa,Anagalapura
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2401,Family / Company,Available now,74000,3,2.0,1800.0,No,Yes,3.0,6.0,3,Villa,Anagalapura
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1003,Family / Company,Available now,34000,2,2.0,790.0,No,Yes,8.0,21.0,2,Flat,Thanisandra
4 BHK Flat for Rent,"Thanisandra, Bangalore",Fully Furnished,2259,Family / Bachelor / Company,Available now,150006,4,1.0,1542.0,Yes,Yes,11.0,33.0,4,Flat,Thanisandra
4 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,2251,Family / Company,Available now,100000,4,1.0,1890.0,No,Yes,8.0,18.0,4,Flat,Jakkur
3 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1635,Family / Bachelor / Company,Available now,55002,3,1.0,1633.0,Yes,Yes,23.0,33.0,3,Flat,Thanisandra
3 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1632,Family / Bachelor / Company,Available now,55000,3,1.0,1411.0,Yes,Yes,23.0,33.0,3,Flat,Thanisandra
3 BHK Flat for Rent,"Kattigenahalli, Bangalore",Semi Furnished,1950,Family / Bachelor / Company,Available now,40002,3,2.0,1500.0,Yes,Yes,2.0,12.0,3,Flat,Kattigenahalli
2.5 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1265,Family / Bachelor / Company,Available now,42000,2,1.0,783.0,Yes,Yes,4.0,24.0,2.5,Flat,Kannuru
4 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,3000,Family / Bachelor,Available now,85000,4,3.0,850.0,No,Yes,4.0,16.0,4,Flat,Chokkanahalli
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,24000,1,1.0,550.0,No,No,3.0,5.0,1,Flat,Brookefield
3 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,2400,Family / Bachelor,"Nov, 2025",80000,3,1.0,2000.0,Yes,No,1.0,3.0,3,Independent Builder Floor,HSR Layout
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,550,Family / Bachelor,"Dec, 2025",17000,1,1.0,850.0,No,No,1.0,5.0,1,Flat,Whitefield
3 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,1500,Family / Bachelor,Available now,65000,2,2.0,850.0,Yes,Yes,2.0,4.0,3,Flat,Whitefield
1.5 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,640,Family / Bachelor,"Dec, 2025",36500,1,1.0,484.0,Yes,Yes,25.0,26.0,1.5,Flat,Varthur
2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,37000,2,1.0,1100.0,Yes,Yes,2.0,4.0,2,Flat,Gunjur Village
1 BHK Independent House for Rent,"Bettadasanapura, Bangalore",Semi Furnished,620,Family / Bachelor / Company,Available now,15100,1,1.0,600.0,No,No,3.0,6.0,1,Independent House,Bettadasanapura
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025",19000,1,1.0,500.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,28000,1,1.0,650.0,No,No,2.0,4.0,1,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Singasandra, Bangalore",Semi Furnished,1400,Family / Bachelor,Available now,29000,2,1.0,1350.0,Yes,No,2.0,6.0,2,Flat,Singasandra
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1100,Family / Bachelor,Available now,25000,2,1.0,900.0,No,No,3.0,5.0,2,Flat,Choodasandra
2 BHK Flat for Rent,"Harlur, Bangalore",Semi Furnished,1050,Family,Available now,45000,2,1.0,980.0,Yes,Yes,3.0,5.0,2,Flat,Harlur
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,"Dec, 2025",60000,1,1.0,1100.0,No,No,4.0,5.0,2,Independent Builder Floor,HSR Layout
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025",18000,1,1.0,500.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,650,Family,"Dec, 2025",19000,1,1.0,850.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor,Available now,23000,1,1.0,850.0,No,No,5.0,6.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,650,Family / Bachelor,Available now,23000,1,1.0,850.0,No,No,4.0,6.0,1,Flat,BTM Layout
2 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,1150,Family / Bachelor,Available now,33000,2,1.0,850.0,No,No,3.0,6.0,2,Independent House,Mahadevapura
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1350,Family / Bachelor,Available now,37000,2,1.0,1250.0,No,No,3.0,4.0,2,Flat,Whitefield
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1697,Family / Bachelor,Available now,57000,3,3.0,1304.0,No,No,5.0,29.0,3,Flat,Gunjur Village
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,610,Family / Bachelor / Company,Available now,25000,1,1.0,580.0,Yes,Yes,2.0,5.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor,Available now,23999,1,1.0,550.0,Yes,Yes,3.0,5.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,23500,1,1.0,510.0,Yes,Yes,4.0,6.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor,Available now,30000,1,1.0,580.0,Yes,Yes,5.0,7.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,24000,1,1.0,590.0,Yes,Yes,4.0,7.0,1,Flat,S.G. Palya
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,690,Family / Bachelor,Available now,28999,1,1.0,560.0,Yes,Yes,4.0,5.0,1,Flat,S.G. Palya
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,620,Family / Bachelor / Company,Available now,27000,1,1.0,600.0,Yes,Yes,4.0,6.0,1,Flat,S.G. Palya
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,710,Family / Bachelor,Available now,31000,1,1.0,850.0,Yes,No,3.0,4.0,1,Flat,HSR Layout
4 BHK Duplex for Rent,"Kasavanahalli, Bangalore",Semi Furnished,3470,Family / Bachelor,Available now,110000,4,3.0,850.0,Yes,Yes,2.0,8.0,4,Duplex,Kasavanahalli
3 BHK Flat for Rent,"Harlur, Bangalore",Semi Furnished,3750,Family / Bachelor / Company,Available now,98000,3,2.0,850.0,No,Yes,3.0,4.0,3,Flat,Harlur
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025",19500,1,1.0,500.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,"Dec, 2025",26000,1,1.0,550.0,Yes,No,2.0,4.0,1,Independent Builder Floor,HSR Layout
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor / Company,Available now,25000,1,1.0,600.0,No,No,2.0,5.0,1,Flat,HSR Layout
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,900,Family / Bachelor,"Dec, 2025",29000,2,1.0,850.0,No,No,3.0,5.0,2,Flat,Whitefield
1 RK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,480,Family / Bachelor / Company,Available now,15000,1,1.0,400.0,No,Yes,3.0,6.0,1,Flat,BTM Layout
2 BHK Flat for Rent,"Konadasapura, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,Available now,26500,3,1.0,1050.0,No,Yes,1.0,14.0,2,Flat,Konadasapura
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,26000,1,1.0,650.0,No,Yes,2.0,6.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,26000,1,1.0,650.0,No,Yes,3.0,6.0,1,Flat,BTM Layout
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,900,Family / Bachelor,Available now,26000,2,2.0,850.0,No,No,2.0,5.0,2,Flat,Whitefield
1 BHK Independent Builder Floor for Rent,"Whitefield, Bangalore",Semi Furnished,600,Bachelor,"Dec, 2025",16500,1,1.0,850.0,No,No,2.0,4.0,1,Independent Builder Floor,Whitefield
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,19000,1,1.0,850.0,No,No,4.0,6.0,1,Flat,Whitefield
3 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,2927,Family / Bachelor,Available now,85000,3,3.0,850.0,No,Yes,3.0,13.0,3,Flat,Hebbal Kempapura
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family,Available now,31000,1,1.0,600.0,No,No,2.0,4.0,1,Independent Builder Floor,HSR Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,17000,1,1.0,560.0,Yes,No,3.0,5.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,20000,1,1.0,850.0,No,No,5.0,6.0,1,Flat,Whitefield
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,19000,1,1.0,850.0,No,No,3.0,6.0,1,Flat,Whitefield
3 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1905,Family,Available now,61000,3,2.0,850.0,Yes,Yes,2.0,26.0,3,Flat,Varthur
3 BHK Flat for Rent,"Lingadheeranahalli, Bangalore",Semi Furnished,1700,Family,Available now,50000,3,1.0,850.0,No,Yes,7.0,20.0,3,Flat,Lingadheeranahalli
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,35000,2,1.0,550.0,No,No,3.0,5.0,2,Independent Builder Floor,HSR Layout
3 BHK Flat for Rent,"HSR Layout, Bangalore",Fully Furnished,2160,Family / Bachelor,Available now,95000,3,3.0,1841.0,Yes,Yes,1.0,5.0,3,Flat,HSR Layout
2.5 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,1450,Family / Bachelor / Company,Available now,55000,2,1.0,1242.0,Yes,Yes,11.0,16.0,2.5,Flat,Hebbal Kempapura
2 BHK Flat for Rent,"KPC Layout, Bangalore",Semi Furnished,1021,Family / Bachelor,Available now,34000,2,1.0,843.0,No,Yes,2.0,5.0,2,Flat,KPC Layout
3 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1679,Family / Company,Available now,67000,3,1.0,850.0,Yes,Yes,25.0,26.0,3,Flat,Varthur
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1259,Family / Company,Available now,51000,2,1.0,850.0,Yes,Yes,4.0,26.0,2,Flat,Varthur
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,680,Family / Bachelor / Company,Available now,23999,1,1.0,620.0,Yes,No,3.0,6.0,1,Flat,BTM Layout
2 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,850,Family / Bachelor,Available now,42000,1,1.0,800.0,No,No,1.0,4.0,2,Flat,Munnekollal
1 BHK Flat for Rent,"Munnekollal, Bangalore",Fully Furnished,600,Family / Bachelor,Available now,25000,2,1.0,550.0,No,No,1.0,4.0,1,Flat,Munnekollal
1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,720,Family / Bachelor / Company,Available now,36000,1,1.0,700.0,No,No,3.0,6.0,1,Flat,Brookefield
2 BHK Flat for Rent,"Murugeshpalya, Bangalore",Semi Furnished,1100,Family,Available now,40000,1,1.0,1000.0,No,No,3.0,4.0,2,Flat,Murugeshpalya
1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,700,Family / Bachelor,Available now,45000,2,1.0,650.0,Yes,No,4.0,4.0,1,Flat,Brookefield
1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,680,Family / Bachelor,Available now,35000,1,1.0,650.0,Yes,No,2.0,6.0,1,Flat,Brookefield
1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,35000,1,1.0,600.0,Yes,No,2.0,6.0,1,Flat,Brookefield
1 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,24500,1,1.0,580.0,No,No,3.0,6.0,1,Flat,Whitefield
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,23500,1,1.0,600.0,No,No,3.0,6.0,1,Flat,Whitefield
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,680,Family / Bachelor,Available now,28500,1,1.0,600.0,Yes,No,5.0,6.0,1,Flat,Brookefield
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,650,Family / Bachelor / Company,Available now,29000,1,1.0,600.0,Yes,No,2.0,6.0,1,Flat,Brookefield
1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,600,Family / Bachelor,Available now,35000,1,2.0,550.0,Yes,No,2.0,6.0,1,Flat,Brookefield
1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,650,Family / Bachelor / Company,Available now,34000,1,1.0,600.0,Yes,No,2.0,6.0,1,Flat,Brookefield
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,25500,1,1.0,520.0,No,Yes,1.0,5.0,1,Independent Builder Floor,HSR Layout
3 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,2927,Family / Bachelor / Company,Available now,120000,3,4.0,2450.0,Yes,Yes,1.0,12.0,3,Flat,Hebbal Kempapura
2 BHK Flat for Rent,"Carmelaram, Bangalore",Semi Furnished,845,Family,Available now,37000,2,1.0,844.0,No,Yes,5.0,12.0,2,Flat,Carmelaram
1 RK Flat for Rent,"Varthur, Bangalore",Semi Furnished,510,Family / Bachelor / Company,Available now,26000,1,1.0,850.0,Yes,Yes,14.0,26.0,1,Flat,Varthur
2 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Semi Furnished,1500,Family / Bachelor,Available now,70000,2,2.0,1400.0,No,No,6.0,6.0,2,Independent Builder Floor,Koramangala
1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,33001,1,1.0,550.0,Yes,No,2.0,6.0,1,Independent Builder Floor,Koramangala
1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,33000,1,1.0,550.0,Yes,No,2.0,6.0,1,Independent Builder Floor,Koramangala
2 BHK Flat for Rent,"Teachers Colony, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,45000,2,1.0,1100.0,No,No,2.0,5.0,2,Flat,Teachers Colony
3 BHK Flat for Rent,"Balagere, Bangalore",Semi Furnished,1804,Family / Bachelor,Available now,72000,3,3.0,1220.0,No,Yes,11.0,17.0,3,Flat,Balagere
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,500,Family,Available now,18000,1,1.0,850.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1440,Family / Bachelor,Available now,45000,2,1.0,1400.0,No,Yes,8.0,17.0,3,Flat,Narayanapura
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1010,Family / Bachelor,Available now,45000,2,1.0,950.0,Yes,Yes,13.0,22.0,3,Flat,Narayanapura
2 BHK Flat for Rent,"Doddakannelli, Bangalore",Semi Furnished,1245,Family,Available now,51000,2,2.0,1000.0,No,Yes,5.0,14.0,2,Flat,Doddakannelli
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,Available now,45000,2,1.0,850.0,Yes,Yes,16.0,26.0,2,Flat,Varthur
1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,"Dec, 2025",16500,1,1.0,500.0,No,No,1.0,4.0,1,Independent Builder Floor,Muneshwara Nagar
1 BHK Flat for Rent,"Bommanahalli, Bangalore",Semi Furnished,690,Family / Bachelor / Company,Available now,16000,1,1.0,850.0,No,No,5.0,6.0,1,Flat,Bommanahalli
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1009,Family / Bachelor,Available now,34000,2,2.0,627.0,Yes,Yes,11.0,23.0,2,Flat,Thanisandra
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,33000,1,1.0,550.0,No,No,2.0,4.0,1,Independent Builder Floor,HSR Layout
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,38000,2,1.0,1100.0,No,No,2.0,5.0,2,Independent Builder Floor,HSR Layout
4 BHK Villa for Rent,"C V Raman Nagar, Bangalore",Semi Furnished,2800,Family / Bachelor,Available now,75000,4,3.0,2500.0,No,Yes,3.0,6.0,4,Villa,C V Raman Nagar
2 BHK Flat for Rent,"Konanakunte, Bangalore",Semi Furnished,1240,Family / Bachelor,Available now,37000,2,1.0,1150.0,No,Yes,15.0,15.0,2,Flat,Konanakunte
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,Available now,44000,2,1.0,850.0,Yes,Yes,4.0,26.0,2,Flat,Varthur
2 BHK Flat for Rent,"Electronic City, Bangalore",Fully Furnished,1274,Family / Bachelor / Company,Available now,40000,2,2.0,1200.0,No,Yes,1.0,10.0,2,Flat,Electronic City
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,32000,2,1.0,1100.0,No,No,3.0,4.0,2,Independent Builder Floor,HSR Layout
2 BHK Independent Builder Floor for Rent,"Nagarbhavi, Bangalore",Semi Furnished,1000,Family,Available now,30000,2,1.0,850.0,No,No,1.0,4.0,2,Independent Builder Floor,Nagarbhavi
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,570,Family / Bachelor,Available now,20000,1,2.0,850.0,No,No,3.0,5.0,1,Flat,Whitefield
2 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,1600,Family / Bachelor,Available now,42000,2,2.0,850.0,No,Yes,14.0,16.0,2,Flat,Chokkanahalli
4 BHK Villa for Rent,"Dommasandra, Bangalore",Semi Furnished,1717,Family,Available now,32000,4,2.0,1545.0,No,Yes,3.0,6.0,4,Villa,Dommasandra
2 BHK Independent Builder Floor for Rent,"Bellandur, Bangalore",Unfurnished,1200,Family / Bachelor / Company,Available now,36000,2,2.0,1190.0,Yes,Yes,4.0,5.0,2,Independent Builder Floor,Bellandur
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,601,Family / Bachelor / Company,Available now,22999,2,1.0,550.0,No,No,3.0,5.0,2,Independent Builder Floor,Bommanahalli
4 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,2205,Family / Company,Available now,95000,4,3.0,850.0,Yes,Yes,10.0,18.0,4,Flat,Whitefield
2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,974,Family / Bachelor / Company,Available now,20000,2,1.0,850.0,No,Yes,4.0,21.0,2,Flat,Gummanahalli
4 BHK Flat for Rent,"Koramangala, Bangalore",Semi Furnished,2403,Family / Company,Available now,200000,5,3.0,2305.0,Yes,Yes,8.0,15.0,4,Flat,Koramangala
2.5 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1447,Family / Bachelor,Available now,66500,2,1.0,850.0,No,No,4.0,17.0,2.5,Flat,Whitefield
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,20000,1,1.0,550.0,Yes,Yes,3.0,5.0,1,Flat,BTM Layout
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1305,Family / Bachelor / Company,Available now,40001,3,2.0,1023.0,Yes,Yes,3.0,21.0,3,Flat,Narayanapura
2 BHK Flat for Rent,"Electronic City Phase 2, Bangalore",Semi Furnished,830,Family / Bachelor,Available now,22000,2,1.0,850.0,No,Yes,7.0,10.0,2,Flat,Electronic City Phase 2
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,720,Family / Bachelor / Company,Available now,35009,1,1.0,610.0,Yes,Yes,4.0,6.0,1,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Electronic City, Bangalore",Semi Furnished,1211,Family,Available now,41500,2,3.0,1014.0,Yes,Yes,19.0,21.0,2,Flat,Electronic City
2.5 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1447,Family / Bachelor,Available now,67000,2,1.0,850.0,No,No,4.0,17.0,2.5,Flat,Whitefield
3 BHK Duplex for Rent,"Byrathi, Bangalore",Semi Furnished,1800,Family / Company,Available now,37000,3,4.0,850.0,Yes,Yes,1.0,3.0,3,Duplex,Byrathi
3 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Fully Furnished,1360,Family / Bachelor,"Mar, 2026",65000,3,2.0,1134.0,Yes,Yes,5.0,14.0,3,Flat,Sahakara Nagar
3 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,3144,Family / Bachelor / Company,Available now,275003,4,2.0,2644.0,Yes,Yes,6.0,16.0,3,Flat,Kannuru
3 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Fully Furnished,3449,Family / Bachelor,Available now,150000,3,3.0,850.0,No,Yes,9.0,13.0,3,Flat,Hebbal Kempapura
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,26500,1,1.0,490.0,Yes,Yes,3.0,6.0,1,Independent Builder Floor,BTM Layout
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,27000,1,1.0,490.0,Yes,Yes,4.0,6.0,1,Independent Builder Floor,BTM Layout
3 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1637,Family / Bachelor / Company,Available now,55005,3,1.0,1633.0,Yes,Yes,23.0,33.0,3,Flat,Thanisandra
2 BHK Independent Builder Floor for Rent,"Ejipura, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,32000,2,1.0,900.0,No,No,2.0,3.0,2,Independent Builder Floor,Ejipura
2 BHK Flat for Rent,"Ejipura, Bangalore",Semi Furnished,900,Family / Bachelor,Available now,22500,1,1.0,850.0,No,No,3.0,5.0,2,Flat,Ejipura
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,850,Family / Bachelor / Company,Available now,22000,1,1.0,750.0,No,Yes,5.0,5.0,1,Flat,Bilekahalli
2 BHK Flat for Rent,"Yelahanka, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,Available now,45000,2,1.0,1350.0,No,Yes,13.0,18.0,2,Flat,Yelahanka
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,25600,1,1.0,490.0,Yes,Yes,3.0,6.0,1,Independent Builder Floor,BTM Layout
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,25000,1,1.0,490.0,Yes,Yes,2.0,6.0,1,Independent Builder Floor,BTM Layout
2 BHK Flat for Rent,"Doddakannelli, Bangalore",Semi Furnished,1350,Family / Bachelor,Available now,56000,2,1.0,1050.0,Yes,Yes,4.0,20.0,2,Flat,Doddakannelli
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,850,Family / Bachelor / Company,Available now,22000,1,1.0,850.0,No,Yes,5.0,6.0,1,Flat,Bilekahalli
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,27005,1,1.0,490.0,Yes,Yes,3.0,6.0,1,Independent Builder Floor,BTM Layout
3 BHK Flat for Rent,"Kaggadasapura, Bangalore",Semi Furnished,1600,Family / Bachelor,Available now,60000,2,3.0,1560.0,No,Yes,5.0,5.0,3,Flat,Kaggadasapura
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,26000,1,1.0,490.0,Yes,Yes,3.0,6.0,1,Independent Builder Floor,BTM Layout
3 BHK Flat for Rent,"K R Puram, Bangalore",Semi Furnished,1581,Family,Available now,65000,3,2.0,1550.0,No,Yes,22.0,24.0,3,Flat,K R Puram
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2400,Family / Company,Available now,70000,3,2.0,1800.0,No,Yes,3.0,6.0,3,Villa,Anagalapura
